# similarity    K-means         Spectral        CBC     Streaming K-Means
.1              .9              .8             .85      .7
.2              .8              .8             .83      .75 
.3              .7              .82            .8       .77
.4              .72             .83            .78      .77
.5              .71             .81            .7       .73
.5              .64             .77            .66      .7
.6              .6              .7             .6       .65
.7              .5              .65            .66      .67
.8              .45             .6             .63      .65
.9              .3              .4             .5       .6
.99             .2              .35            .48      .5           
